code,name,category
1,Sterling Bank,2
2,Keystone Bank,2
3,FCMB,2
4,United Bank for Africa,2
5,Diamond Bank,2
6,JAIZ Bank,2
7,Fidelity Bank,2
8,Polaris Bank,2
9,Citi Bank,2
10,Ecobank Bank,2
11,Unity Bank,2
12,StanbicIBTC Bank,2
13,GTBank Plc,2
14,Access Bank,2
15,Zenith Bank Plc,2
16,First Bank of Nigeria,2
17,Wema Bank,2
18,Union Bank,2
19,Enterprise Bank,2
20,Heritage,2
21,StandardChartered,2
22,Suntrust Bank,2
23,Providus Bank,2
24,Rand Merchant Bank,6
25,Titan Trust Bank,2
26,Taj Bank,2
27,Globus Bank,2
28,Central Bank of Nigeria,2
31,Premium Trust Bank,2
60001,Coronation Merchant Bank,6
60002,FBNQUEST Merchant Bank,6
60003,Nova Merchant Bank,6
60004,Greenwich Merchant Bank,6
70001,NPF MicroFinance Bank,9
70002,Fortis Microfinance Bank,9
70006,Covenant MFB,9
70007,Omoluabi savings and loans,7
70008,Page Financials,9
70009,Gateway Mortgage Bank,7
70010,Abbey Mortgage Bank,7
70011,Refuge Mortgage Bank,7
70012,Lagos Building Investment Company,7
70013,Platinum Mortgage Bank,7
70014,First Generation Mortgage Bank,7
70015,Brent Mortgage Bank,7
70016,Infinity Trust Mortgage Bank,7
70017,Haggai Mortgage Bank Limited,7
70019,MayFresh Mortgage Bank,7
70021,Coop Mortgage Bank,7
70023,Delta Trust Microfinance Bank,7
70024,HOMEBASE MORTGAGE BANK,7
80002,Taj_Pinspay,10
90001,ASOSavings,7
90003,Jubilee-Life Mortgage Bank,7
90004,Parralex Microfinance bank,9
90005,Trustbond Mortgage Bank,7
90006,SafeTrust,7
90097,Ekondo MFB,9
90107,FBN Mortgages Limited,7
90108,New Prudential Bank,7
90110,VFD MFB,9
90111,FinaTrust Microfinance Bank,9
90112,Seed Capital Microfinance Bank,9
90114,Empire trust MFB,9
90115,TCF MFB,9
90116,AMML MFB,9
90117,Boctrust Microfinance Bank,9
90118,IBILE Microfinance Bank,9
90119,Ohafia Microfinance Bank,9
90120,Wetland Microfinance Bank,9
90121,Hasal Microfinance Bank,9
90122,Gowans Microfinance Bank,9
90123,Verite Microfinance Bank,9
90124,Xslnce Microfinance Bank,9
90125,Regent Microfinance Bank,9
90126,Fidfund Microfinance Bank,9
90127,BC Kash Microfinance Bank,9
90128,Ndiorah Microfinance Bank,9
90129,Money Trust Microfinance Bank,9
90130,Consumer Microfinance Bank,9
90131,Allworkers Microfinance Bank,9
90132,Richway Microfinance Bank,9
90133,AL-Barakah Microfinance Bank,9
90134,Accion Microfinance Bank,9
90135,Personal Trust Microfinance Bank,9
90136,Microcred Microfinance Bank,9
90137,PecanTrust Microfinance Bank,9
90138,Royal Exchange Microfinance Bank,9
90139,Visa Microfinance Bank,9
90140,Sagamu Microfinance Bank,9
90141,Chikum Microfinance Bank,9
90142,Yes Microfinance Bank,9
90143,Apeks Microfinance Bank,9
90144,CIT Microfinance Bank,9
90145,Fullrange Microfinance Bank,9
90146,Trident Microfinance Bank,9
90147,Hackman Microfinance Bank,9
90148,Bowen Microfinance Bank,9
90149,IRL Microfinance Bank,9
90150,Virtue Microfinance Bank,9
90151,Mutual Trust Microfinance Bank,9
90152,Nagarta Microfinance Bank,9
90153,FFS Microfinance Bank,9
90154,CEMCS Microfinance Bank,9
90155,Advans La Fayette Microfinance Bank,9
90156,e-Barcs Microfinance Bank,9
90157,Infinity Microfinance Bank,9
90158,Futo Microfinance Bank,9
90159,Credit Afrique Microfinance Bank,9
90160,Addosser Microfinance Bank,9
90161,Okpoga Microfinance Bank,9
90162,Stanford Microfinance Bak,9
90164,First Royal Microfinance Bank,9
90165,Petra Microfinance Bank,9
90166,Eso-E Microfinance Bank,9
90167,Daylight Microfinance Bank,9
90168,Gashua Microfinance Bank,9
90169,Alpha Kapital Microfinance Bank,9
90171,Mainstreet Microfinance Bank,9
90172,Astrapolaris Microfinance Bank,9
90173,Reliance Microfinance Bank,9
90174,Malachy Microfinance Bank,9
90175,HighStreet Microfinance Bank,9
90176,Bosak Microfinance Bank,9
90177,Lapo Microfinance Bank,9
90178,GreenBank Microfinance Bank,9
90179,FAST Microfinance Bank,9
90180,Amju Unique Microfinance Bank,9
90181,Balogun Fulani Microfinance Bank,9
90186,Girei Microfinance Bank,9
90188,Baines Credit Microfinance Bank,9
90189,Esan Microfinance Bank,9
90190,Mutual Benefits Microfinance Bank,9
90191,KCMB Microfinance Bank,9
90192,Midland Microfinance Bank,9
90193,Unical Microfinance Bank,9
90194,NIRSAL Microfinance Bank,9
90195,Grooming Microfinance Bank,9
90196,Pennywise Microfinance Bank,9
90197,ABU Microfinance Bank,9
90198,RenMoney Microfinance Bank,9
90202,Accelerex Network Limited,11
90205,New Dawn Microfinance Bank,9
90251,UNN MFB,9
90252,Yobe Microfinance Bank,9
90254,Coalcamp Microfinance Bank,9
90258,Imo State Microfinance Bank,9
90259,Alekun Microfinance Bank,9
90260,Above Only Microfinance Bank,9
90261,Quickfund Microfinance Bank,9
90262,Stellas Microfinance Bank,9
90263,Navy Microfinance Bank,9
90264,Auchi Microfinance Bank,9
90265,Lovonus Microfinance Bank,9
90266,Uniben Microfinance Bank,9
90267,Kuda Microfinance Bank,9
90268,Adeyemi College Staff Microfinance Bank,9
90269,Greenville Microfinance Bank,9
90270,AB Microfinance Bank,9
90271,Lavender Microfinance Bank,9
90272,Olabisi Onabanjo University Microfinance Bank,9
90273,Emeralds Microfinance Bank,9
90274,Prestige Microfinance Bank,9
